S.No,un_number,proper_shipping_name,simplified_name,hazard_class,subsidiary_risks,packing_group,hazard_labels_required,erg_guide_number,special_provisions,qty_ltd_passenger_aircraft,packing_instruction_passenger_aircraft,qty_ltd_cargo_aircraft,packing_instruction_cargo_aircraft,description_notes,is_marine_pollutant,is_environmentally_hazardous
139,2524,"Ammonium hydrogendifluoride, solid ","Ammonium hydrogendifluoride, Ammonium, hydrogendifluoride",8,,,Corrosive,,1727 That number have this data,,,,,,FALSE,FALSE
140,2525,Ammonium hydrogendifluoride solution ,"Ammonium hydrogendifluoride solution, Ammonium, hydrogendifluoride",8,6.1,,Corrosive & Toxic,,,,,,,,FALSE,FALSE
141,2526,Ammonium hydrogen sulphate ,"Ammonium hydrogen sulphate, Ammonium, hydrogen, sulphate",8,,,Corrosive,,,,,,,,FALSE,FALSE
142,2527,Ammonium metavanadate ,"Ammonium metavanadate, Ammonium, metavanadate",6.1,,,Toxic,,,,,,,,FALSE,FALSE
143,2528,"Ammonium nitrate (with more than 0.2% combustible substances, including any organic substance calculated as carbon, to the exclusion of any other added substance)","Ammonium nitrate, Ammonium, nitrate",1.1D,,,,,,,,,,,FALSE,FALSE
144,1942 ,"Ammonium nitrate (with 0.2% or less combustible substances, including any A803 organic substance calculated as carbon, to the exclusion of any other added substance)","Ammonium nitrate, Ammonium, nitrate",5.1,,,Oxidizer,140,,,,,,,FALSE,FALSE
145,2067 ,Ammonium nitrate based fertilizer,"Ammonium nitrate based fertilizer, Ammonium, nitrate, fertilizer",5.1,,,Oxidizer,140,,,,,,,FALSE,FALSE
146,2071 ,Ammonium nitrate based fertilizer ,"Ammonium nitrate based fertilizer, Ammonium, nitrate, fertilizer",9,,,Miscellaneous,140,,,,,,,FALSE,FALSE
147,3375 ,Ammonium nitrate emulsion (intermediate for blasting explosives),"Ammonium nitrate emulsion, Ammonium, nitrate, emulsion",5.1,,,,140,,,,,,,FALSE,FALSE
148,3375 ,Ammonium nitrate gel (intermediate for blasting explosives),"Ammonium nitrate gel, Ammonium, nitrate",5.1,,,,140,,,,,,,FALSE,FALSE
149,2426 ,"Ammonium nitrate, liquid (hot concentrated solution)","Ammonium nitrate, Ammonium, nitrate",5.1,,,,140,,,,,,,FALSE,FALSE
150,3375 ,Ammonium nitrate suspension (intermediate for blasting explosives),"Ammonium nitrate suspension, Ammonium, nitrate",5.1,,,,140,,,,,,,FALSE,FALSE
151,0402 ,Ammonium perchlorate ,"Ammonium perchlorate, Ammonium, perchlorate",1.1D,,,,,,,,,,,FALSE,FALSE
152,1442 ,Ammonium perchlorate,"Ammonium perchlorate, Ammonium, perchlorate",5.1,,,Oxidizer,143,,,,,,,FALSE,FALSE
153,1444 ,Ammonium persulphate,"Ammonium persulphate, Ammonium, persulphate",5.1,,,Oxidizer,140,,,,,,,FALSE,FALSE
154,0004,"Ammonium picrate (dry or wetted with less than 10% water, by weight)","Ammonium picrate, Ammonium, picrate",1.1D,,,,,,,,,,,FALSE,FALSE
